model,age_group,feature,coef,abs_coef
Logistic Regression,Age < 2,Seiz,18.713014739596314,18.713014739596314
Logistic Regression,Age < 2,NeuroD_missing,14.62592826772203,14.62592826772203
Logistic Regression,Age < 2,GCSEye,-9.219561905670874,9.219561905670874
Logistic Regression,Age < 2,ClavOcc_1,9.018224039223725,9.018224039223725
Logistic Regression,Age < 2,GCSVerbal,-8.105042668644085,8.105042668644085
Logistic Regression,Age < 2,LOCSeparate_missing,8.088585785678331,8.088585785678331
Logistic Regression,Age < 2,HemaLoc_3.0,7.597901657967512,7.597901657967512
Logistic Regression,Age < 2,GCSMotor,6.256959242723129,6.256959242723129
Logistic Regression,Age < 2,SFxPalp_2.0,5.852919336526947,5.852919336526947
Logistic Regression,Age < 2,ActNorm,-5.848910013522154,5.848910013522154
Logistic Regression,Age < 2,AMS,5.527215197860946,5.527215197860946
Logistic Regression,Age < 2,HemaLoc_2.0,5.304370350648831,5.304370350648831
Logistic Regression,Age < 2,ClavPar_1,5.196593108685144,5.196593108685144
Logistic Regression,Age < 2,VomitStart_3.0,5.126908496770706,5.126908496770706
Logistic Regression,Age < 2,ActNorm_missing,4.742773427977101,4.742773427977101
Logistic Regression,Age < 2,AMSOth_1,-2.6420609934172643,2.6420609934172643
Logistic Regression,Age < 2,High_impact_InjSev_3.0,2.2143708642773072,2.2143708642773072
Logistic Regression,Age < 2,High_impact_InjSev_missing,-2.0621005709189295,2.0621005709189295
Logistic Regression,Age >= 2,GCSGroup,-18.25941509714524,18.25941509714524
Logistic Regression,Age >= 2,SFxBas,16.2145177718019,16.2145177718019
Logistic Regression,Age >= 2,NeuroD,13.955233114272124,13.955233114272124
Logistic Regression,Age >= 2,AMS,11.908855220849192,11.908855220849192
Logistic Regression,Age >= 2,LocLen_missing,11.110353461046067,11.110353461046067
Logistic Regression,Age >= 2,VomitStart_3.0,10.424298237203448,10.424298237203448
Logistic Regression,Age >= 2,ActNorm,-10.42027284705575,10.42027284705575
Logistic Regression,Age >= 2,HAStart_3.0,-8.653041457185312,8.653041457185312
Logistic Regression,Age >= 2,ClavPar_1,7.724138399104728,7.724138399104728
Logistic Regression,Age >= 2,OSIOth_1,7.686335864048388,7.686335864048388
Logistic Regression,Age >= 2,VomitStart_2.0,7.221126956085759,7.221126956085759
Logistic Regression,Age >= 2,VomitLast_missing,-6.843690217148588,6.843690217148588
Logistic Regression,Age >= 2,AMSAgitated_1,-6.7103417276926915,6.7103417276926915
Logistic Regression,Age >= 2,NeuroD_missing,-6.078166011116194,6.078166011116194
Logistic Regression,Age >= 2,HemaSize_3.0,6.0542604319828515,6.0542604319828515
Logistic Regression,Age >= 2,Vomit,5.91507155819253,5.91507155819253
Logistic Regression,Age >= 2,LOCSeparate_missing,5.638589929216517,5.638589929216517
Logistic Regression,Age >= 2,High_impact_InjSev_3.0,5.129601616209217,5.129601616209217
Logistic Regression,Age >= 2,Dizzy_missing,-4.817693568960659,4.817693568960659
Logistic Regression,Age >= 2,ActNorm_missing,3.238351293712345,3.238351293712345
Logistic Regression,Age >= 2,High_impact_InjSev_2.0,2.4895242979901306,2.4895242979901306
Logistic Regression,Age >= 2,HAStart_missing,2.2536195932903027,2.2536195932903027
Logistic Regression,Age >= 2,SFxPalp_2.0,0.6959593085739684,0.6959593085739684
Logistic Regression,Age >= 2,ClavNeck_1,-0.6769125258109736,0.6769125258109736
Logistic Regression,Age >= 2,HASeverity_3.0,0.17117875187452733,0.17117875187452733
