test_image,feature,coef_scaled,scaler_scale,coef_per_unit_original,abs_coef_scaled
image1,NDAI,-2.02706267785623,0.11498788452333449,-17.628489177439196,2.02706267785623
image1,SD,0.5517851270628283,536.8668007881425,0.0010277877608613256,0.5517851270628283
image1,CORR,-0.3656389224178684,0.39012123573331847,-0.9372443459289516,0.3656389224178684
image1,DF,5.504388486372483,4415.841925110176,0.0012465094040328784,5.504388486372483
image1,CF,-1.9677747581159675,3966.402205631788,-0.0004961107462379829,1.9677747581159675
image1,BF,-2.0882071063238183,3936.17005512488,-0.0005305175023129348,2.0882071063238183
image1,AF,1.6282249867061678,4001.6006752058083,0.00040689342062409206,1.6282249867061678
image1,AN,-3.546515261992242,3852.7568770287603,-0.0009205136413194358,3.546515261992242
image1,ae0,-0.2305147255562201,1.8966035144172562,-0.12154080903253375,0.2305147255562201
image1,ae1,0.14691233007496726,1.5695492228063375,0.09360160735340912,0.14691233007496726
image1,ae2,0.3057043226196328,0.8401211890352627,0.3638812192925197,0.3057043226196328
image1,ae3,-0.2366621966604636,1.8844647489994557,-0.12558589742053697,0.2366621966604636
image1,ae4,0.21271242820340847,1.057039038020122,0.20123422177654637,0.21271242820340847
image1,ae5,-0.5862241476213375,1.2425488718799254,-0.4717916219539956,0.5862241476213375
image1,ae6,-0.06362870760272059,1.488111343432265,-0.0427580287480127,0.06362870760272059
image1,ae7,-0.441380480924183,1.3499596240331924,-0.32695828309701397,0.441380480924183
image1,__intercept__,0.3927302358423734,,0.3927302358423734,
image2,NDAI,-0.06537332867374186,0.07387233782643897,-0.8849500448643538,0.06537332867374186
image2,SD,1.2868345140927275,595.0299008339726,0.0021626384023544806,1.2868345140927275
image2,CORR,0.15570849718522561,0.40564580298297975,0.383853342103379,0.15570849718522561
image2,DF,1.4089142943548645,4209.896551957811,0.00033466720071771103,1.4089142943548645
image2,CF,-0.5746169060086244,4345.95529494048,-0.00013221877976462115,0.5746169060086244
image2,BF,-1.1369824034162115,4284.191262253348,-0.0002653902064162735,1.1369824034162115
image2,AF,0.7347716602072129,3990.8882610675228,0.0001841123108795506,0.7347716602072129
image2,AN,-0.7873664759439748,3596.156504810552,-0.00021894666566672514,0.7873664759439748
image2,ae0,-0.6082397487064123,1.9250719642614322,-0.3159568888842905,0.6082397487064123
image2,ae1,0.093328983833189,1.43734525387729,0.0649315003346835,0.093328983833189
image2,ae2,0.11302606993329274,0.8747828995575869,0.1292047089517349,0.11302606993329274
image2,ae3,-0.17781956714149336,1.5620008751029013,-0.11384088829641595,0.17781956714149336
image2,ae4,0.13140979146667384,1.1032393460717753,0.11911267662323248,0.13140979146667384
image2,ae5,-0.2429621737434486,1.1121988416089836,-0.21845210105772342,0.2429621737434486
image2,ae6,0.2269431128901942,1.42201014418082,0.15959317436580578,0.2269431128901942
image2,ae7,-0.012264435762096335,1.3133620925860534,-0.009338198377529881,0.012264435762096335
image2,__intercept__,-0.10105901700194615,,-0.10105901700194615,
image3,NDAI,-2.537879657133495,0.11042901003306554,-22.982001345240555,2.537879657133495
image3,SD,1.0722837660443618,525.0336194511825,0.002042314484861407,1.0722837660443618
image3,CORR,0.07233476174366538,0.4161556215033355,0.17381661572264887,0.07233476174366538
image3,DF,4.241607314938786,3845.255396728179,0.0011030755768648948,4.241607314938786
image3,CF,-0.27161530847570836,4064.527188930336,-6.68258067544603e-05,0.27161530847570836
image3,BF,-2.9479406795831262,4509.568055273915,-0.0006537079923066081,2.9479406795831262
image3,AF,-6.488263799996826,4669.661573466269,-0.0013894505410979102,6.488263799996826
image3,AN,4.285163483096513,4397.303205677638,0.0009744980690809915,4.285163483096513
image3,ae0,0.1318919699616123,1.9744950117782845,0.06679782383589146,0.1318919699616123
image3,ae1,-0.6264472333679274,1.6254135001813754,-0.38540791823005277,0.6264472333679274
image3,ae2,0.059193892305388775,0.9091052224899492,0.06511225636044919,0.059193892305388775
image3,ae3,-1.1038970496554517,1.9923867356763347,-0.5540576183773495,1.1038970496554517
image3,ae4,0.4930840833169778,1.0966333252113807,0.4496344146954806,0.4930840833169778
image3,ae5,-0.5567976354567346,1.325483564865762,-0.4200713235649392,0.5567976354567346
image3,ae6,-0.8282569162052634,1.5364187383724375,-0.5390828004887875,0.8282569162052634
image3,ae7,-0.6130468106779785,1.4196449783794054,-0.43183107045382685,0.6130468106779785
image3,__intercept__,0.14841024676949122,,0.14841024676949122,
