fold,feature_set,model_name,accuracy,precision,recall,f1,roc_auc,n_train,n_test,held_out_group
1,handcrafted,rf_regularized,0.939768283322978,0.8891939106563513,0.9984714544111278,0.9406696267850714,0.9888338596747446,125598,82083,2
2,handcrafted,rf_regularized,0.922599045548245,0.8708304464020588,0.8596834082470197,0.865221025716674,0.9701648678363057,136855,70826,1
3,handcrafted,rf_regularized,0.4611297743372526,0.414469194018738,0.9433251741668236,0.5759034413391767,0.6541560967811659,152909,54772,0
1,ae_only,rf_regularized,0.8499811166745855,0.885956617668128,0.787685017705653,0.8339356996439745,0.9242533646932818,125598,82083,2
2,ae_only,rf_regularized,0.8841950696072064,0.8258767268862912,0.7593804963846004,0.7912339645693341,0.9448308989790615,136855,70826,1
3,ae_only,rf_regularized,0.766139633389323,0.6358774445052998,0.9290623234795707,0.7550064074364516,0.9022078141417257,152909,54772,0
1,combined,rf_regularized,0.9535470194802822,0.9163338188994878,0.9935801085267368,0.9533948542443317,0.9901806369367029,125598,82083,2
2,combined,rf_regularized,0.9150170841216503,0.8941137963013475,0.8007621653312488,0.8448671357509214,0.9762962383781993,136855,70826,1
3,combined,rf_regularized,0.462663404659315,0.41497559455810573,0.9404537751835812,0.5758549626021415,0.7438610131406116,152909,54772,0
