,0
SD,0.18964689608921456
ae5,0.14043706028384037
ae3,0.07996076841261412
ae28,0.05294718488614493
ae19,0.046220895411231186
AN,0.04021694100920898
NDAI_DF_AF,0.03223041902557013
ae30,0.03131957568281208
ae10,0.028334330961613852
ae31,0.026864552298471088
ae23,0.02201358618845503
ae8,0.02163791985561476
ae12,0.02063966398064996
ae20,0.020381008765318027
ae27,0.01965914050816145
ae18,0.017225140754135837
ae9,0.01601161773762621
ae4,0.014744489017828771
ae11,0.013571603496883461
ae1,0.013326152758186313
CORR,0.011908355854868167
ae15,0.011464696078453308
ae25,0.011430941372648221
BF,0.009399820185352747
AF,0.009263708166732141
ae2,0.008821587428682933
ae26,0.008362170484452355
ae7,0.008330713884332113
DF,0.008265817558269046
ae29,0.008126985538667754
CF,0.00801101403333692
ae6,0.00745004461519693
ae24,0.0068030102432615445
ae22,0.006564504142638792
ae16,0.006240483371739983
ae0,0.005953546792050941
ae21,0.005280082706603544
ae13,0.0052467839103084385
ae17,0.004548267060472066
ae14,0.0011385194483508776
